Trips,Holiday,PRCP,SNOW,TMAX,TMIN,TAVG,AWND,Month,Weekday
2611.0,1,0.0,0.0,8.3,-2.7,1.7,3.7,1,3
5155.0,0,0.0,0.0,9.4,1.7,5.3,1.3,1,4
1718.0,0,12.7,0.0,5.6,1.1,4.0,1.5,1,5
5262.0,0,0.0,0.0,11.1,-1.6,7.8,6.4,1,0
2086.0,0,5.1,61.0,0.0,-4.3,-1.9,2.2,1,1
3063.0,0,0.0,0.0,-1.0,-9.3,-3.0,6.8,1,2
2976.0,0,0.0,0.0,-3.2,-11.0,-8.2,5.1,1,3
4237.0,0,0.0,0.0,5.6,-3.2,-0.6,5.5,1,4
2694.0,0,0.0,0.0,-1.0,-7.1,-3.2,3.5,1,5
3486.0,0,0.0,0.0,6.1,-6.0,-1.7,2.2,1,6
2168.0,0,19.1,0.0,6.1,1.7,2.9,1.8,1,0
5520.0,0,0.0,0.0,5.6,-1.6,3.1,5.4,1,1
4598.0,0,0.0,5.0,0.6,-3.2,-1.2,3.6,1,2
5812.0,0,0.0,0.0,5.6,0.0,1.5,2.6,1,3
5729.0,0,0.0,0.0,8.9,-2.7,2.7,4.3,1,4
4265.0,0,0.0,0.0,4.4,-2.1,1.5,4.0,1,5
2548.0,0,15.2,0.0,7.2,1.1,3.2,2.2,1,6
4687.0,1,0.0,0.0,10.0,0.6,6.6,2.8,1,0
6316.0,0,0.0,0.0,10.0,-0.5,3.7,0.9,1,1
5402.0,0,2.0,10.0,3.9,1.1,2.7,2.0,1,2
6424.0,0,0.0,0.0,9.4,2.2,4.3,3.7,1,3
4774.0,0,16.5,0.0,6.1,-0.5,3.4,2.3,1,4
3504.0,0,12.2,0.0,7.2,2.8,3.8,4.3,1,5
5210.0,0,0.0,0.0,11.1,2.2,6.4,2.7,1,6
2448.0,0,5.3,13.0,7.8,-1.6,4.6,5.9,1,0
4102.0,0,0.3,3.0,2.8,-1.0,0.2,6.6,1,1
5131.0,0,0.0,0.0,3.9,-4.3,-0.6,6.0,1,2
4679.0,0,1.3,0.0,4.4,-3.2,0.1,2.6,1,3
4905.0,0,0.0,0.0,6.1,-4.9,4.0,6.9,1,4
3371.0,0,0.0,0.0,2.2,-6.6,-2.9,4.3,1,5
3621.0,0,1.0,0.0,6.7,-2.7,0.8,1.8,2,6
3911.0,0,2.3,0.0,10.0,-2.7,4.6,5.5,2,0
5162.0,0,0.0,0.0,3.9,-3.8,-1.4,4.2,2,1
6138.0,0,0.0,0.0,12.8,-1.6,2.9,3.9,2,2
5076.0,0,0.0,0.0,6.7,-6.0,3.7,7.5,2,3
5006.0,0,0.0,0.0,3.3,-8.2,-3.6,3.2,2,4
5036.0,0,0.0,0.0,10.0,-3.2,2.3,1.7,2,5
6829.0,0,0.0,0.0,20.0,1.7,6.9,2.1,2,6
5017.0,0,1.8,0.0,7.2,1.1,5.3,4.7,2,0
5768.0,0,0.5,0.0,4.4,0.6,2.0,6.8,2,1
6708.0,0,0.0,0.0,8.3,-1.6,2.4,3.4,2,2
5509.0,0,0.0,0.0,6.7,-6.6,2.9,5.9,2,3
4078.0,0,0.0,0.0,-1.0,-9.3,-5.1,5.8,2,4
3004.0,0,0.0,3.0,7.2,-7.7,-0.7,6.0,2,5
1055.0,0,0.0,0.0,-5.5,-11.6,-7.3,9.8,2,6
1335.0,1,7.4,74.0,-6.6,-12.1,-9.8,3.4,2,0
1198.0,0,5.8,46.0,-0.5,-8.2,-6.3,2.6,2,1
3183.0,0,0.0,3.0,1.1,-10.5,-4.2,3.5,2,2
2720.0,0,0.0,3.0,-6.0,-11.6,-7.0,7.3,2,3
2517.0,0,0.0,0.0,-5.5,-14.9,-10.6,3.9,2,4
758.0,0,17.8,66.0,1.7,-9.9,-6.8,4.4,2,5
2021.0,0,2.5,0.0,10.0,1.7,3.7,1.5,2,6
3655.0,0,0.0,0.0,5.0,-7.1,2.1,6.6,2,0
3921.0,0,0.0,0.0,-1.0,-9.9,-5.8,3.8,2,1
5016.0,0,0.0,0.0,5.6,-6.0,-1.4,1.9,2,2
3531.0,0,3.6,56.0,3.9,-0.5,1.9,3.1,2,3
4699.0,0,0.0,0.0,1.7,-3.8,0.7,4.6,2,4
3294.0,0,0.0,0.0,0.6,-6.6,-3.2,2.3,2,5
802.0,0,13.0,3.0,1.1,-4.3,-1.9,2.5,3,6
4118.0,0,0.0,0.0,7.8,0.6,3.2,4.2,3,0
3884.0,0,1.0,0.0,5.0,-0.5,1.0,4.1,3,1
4187.0,0,8.6,0.0,10.6,3.9,5.7,2.6,3,2
560.0,0,22.1,122.0,7.2,-4.9,3.5,5.7,3,3
1987.0,0,0.0,0.0,-1.0,-9.3,-4.9,3.3,3,4
3271.0,0,0.0,0.0,9.4,-7.1,-1.2,3.5,3,5
5529.0,0,0.0,0.0,15.0,0.0,7.9,2.6,3,6
8175.0,0,0.0,0.0,16.7,2.8,8.4,1.3,3,0
4015.0,0,11.2,0.0,10.0,3.9,7.7,1.6,3,1
7909.0,0,0.0,0.0,19.4,7.8,11.8,2.8,3,2
9215.0,0,0.0,0.0,15.6,6.1,11.3,4.0,3,3
8084.0,0,0.3,0.0,12.8,2.8,8.1,2.2,3,4
3669.0,0,15.2,0.0,15.6,7.2,9.7,3.6,3,5
6668.0,0,0.0,0.0,14.4,6.7,11.7,5.7,3,6
9022.0,0,0.0,0.0,20.6,3.3,9.8,1.6,3,0
9246.0,0,0.0,0.0,22.8,4.4,14.0,6.5,3,1
7527.0,0,0.0,0.0,11.7,2.2,6.6,4.7,3,2
8202.0,0,0.0,0.0,11.7,3.9,7.8,1.9,3,3
2956.0,0,12.4,0.0,7.8,2.2,4.7,3.8,3,4
9436.0,0,0.0,0.0,16.1,1.7,6.7,2.7,3,5
8233.0,0,0.0,0.0,13.3,7.2,10.8,5.1,3,6
7875.0,0,0.0,0.0,8.3,2.8,6.0,2.6,3,1
7553.0,0,0.0,0.0,12.2,1.7,5.8,2.1,3,2
8778.0,0,8.9,0.0,25.0,9.4,13.9,4.7,3,3
6141.0,0,9.1,0.0,11.1,5.0,10.7,5.2,3,4
4676.0,0,0.0,0.0,5.6,-0.5,3.7,7.1,3,5
5861.0,0,0.0,0.0,9.4,-2.1,2.1,4.4,3,6
9196.0,0,0.5,0.0,18.9,5.6,10.4,5.0,3,0
8198.0,0,0.3,0.0,22.8,6.1,14.0,6.3,3,1
9874.0,0,0.0,0.0,16.1,4.4,10.1,3.8,4,2
11273.0,0,0.0,0.0,23.3,5.6,13.4,7.0,4,3
6425.0,0,4.8,0.0,22.8,16.1,19.2,5.5,4,4
10433.0,0,1.3,0.0,20.0,7.2,16.3,6.2,4,5
10181.0,0,0.0,0.0,20.6,4.4,12.6,4.9,4,6
12638.0,0,0.0,0.0,25.0,8.9,16.3,4.8,4,0
11109.0,0,4.3,0.0,22.8,11.7,18.9,3.6,4,1
7437.0,0,3.3,0.0,11.7,7.2,11.8,5.0,4,2
7826.0,0,1.0,0.0,10.0,7.2,8.3,3.7,4,3
9393.0,0,0.3,0.0,20.0,7.2,10.3,3.1,4,4
16726.0,0,0.0,0.0,20.0,10.6,17.1,4.9,4,5
15724.0,0,0.0,0.0,21.1,6.1,14.6,2.2,4,6
12676.0,0,0.0,0.0,26.7,11.1,17.6,5.4,4,0
3824.0,0,16.3,0.0,19.4,12.2,17.4,3.4,4,1
11119.0,0,0.0,0.0,20.0,11.1,15.2,3.1,4,2
11687.0,1,1.0,0.0,23.3,11.1,16.9,2.8,4,3
12546.0,0,0.8,0.0,26.1,15.0,19.2,2.6,4,4
10250.0,0,9.4,0.0,20.6,12.8,19.0,6.0,4,6
9066.0,0,19.6,0.0,27.8,13.9,19.5,5.2,4,0
11630.0,0,4.1,0.0,21.7,12.2,18.3,5.1,4,1
10540.0,0,0.0,0.0,23.3,10.6,15.8,5.3,4,2
10106.0,0,0.0,0.0,15.6,7.2,12.0,5.5,4,3
10370.0,0,0.0,0.0,17.2,3.9,10.3,5.7,4,4
7177.0,0,6.9,0.0,11.7,7.2,10.6,2.8,4,5
10327.0,0,0.0,0.0,19.4,7.2,11.6,2.1,4,6
8864.0,0,0.0,0.0,16.7,8.3,13.3,5.5,4,0
10995.0,0,0.0,0.0,22.2,8.9,14.6,5.2,4,1
11652.0,0,0.0,0.0,25.6,11.1,18.6,1.8,4,2
10255.0,0,13.7,0.0,23.3,13.3,18.3,2.9,4,3
10351.0,0,2.8,0.0,17.8,12.2,15.1,3.2,5,4
12570.0,0,0.0,0.0,25.6,10.6,16.7,2.2,5,5
12098.0,0,0.0,0.0,28.9,13.3,20.3,2.1,5,6
11987.0,0,0.0,0.0,28.9,13.3,21.4,4.3,5,0
11093.0,0,1.3,0.0,30.0,17.8,22.9,3.1,5,1
11483.0,0,0.0,0.0,28.3,17.8,22.3,2.4,5,2
12316.0,0,0.0,0.0,27.2,16.7,21.9,2.5,5,3
13427.0,0,0.0,0.0,28.9,17.8,22.9,2.1,5,4
11089.0,0,0.0,0.0,29.4,20.6,24.6,3.0,5,6
12133.0,0,0.0,0.0,28.3,21.7,24.4,2.2,5,0
12056.0,0,0.0,0.0,32.2,21.7,26.0,4.7,5,1
11774.0,0,0.0,0.0,22.2,13.3,20.7,7.0,5,2
12615.0,0,0.0,0.0,22.8,11.7,16.6,3.2,5,3
13641.0,0,0.0,0.0,25.6,14.4,19.1,4.5,5,4
11196.0,0,16.8,0.0,31.1,19.4,23.4,3.5,5,5
10933.0,0,0.0,0.0,30.6,21.1,24.3,2.0,5,6
10442.0,0,19.3,0.0,33.3,22.2,27.2,2.2,5,0
12063.0,0,0.0,0.0,32.2,22.2,26.6,2.7,5,1
12981.0,0,0.0,0.0,23.9,16.7,22.2,6.6,5,2
6981.0,0,8.4,0.0,17.2,11.7,15.3,3.2,5,3
12522.0,0,0.0,0.0,26.1,11.1,17.2,4.7,5,4
12706.0,0,0.0,0.0,23.9,12.2,19.1,3.5,5,5
13564.0,0,0.0,0.0,27.8,13.9,20.4,3.6,5,6
11990.0,1,0.0,0.0,29.4,19.4,24.4,5.2,5,0
11351.0,0,0.0,0.0,31.1,20.6,25.3,4.9,5,1
11470.0,0,0.3,0.0,32.2,23.9,26.5,3.9,5,2
11625.0,0,0.0,0.0,33.3,22.8,26.9,2.8,5,3
12058.0,0,0.0,0.0,30.6,23.3,25.9,3.4,5,4
12657.0,0,0.0,0.0,32.2,22.2,26.7,4.9,5,5
10917.0,0,0.0,0.0,33.3,23.3,27.3,5.3,5,6
8101.0,0,63.2,0.0,33.3,21.7,27.2,3.7,6,0
8054.0,0,11.7,0.0,22.2,15.6,20.0,4.8,6,1
9879.0,0,0.3,0.0,17.8,15.0,16.2,4.7,6,2
6356.0,0,9.4,0.0,18.3,15.0,16.8,4.3,6,3
11075.0,0,0.8,0.0,23.9,15.6,18.2,2.2,6,4
12665.0,0,0.0,0.0,29.4,18.3,22.9,4.0,6,5
11661.0,0,0.0,0.0,26.1,19.4,23.2,4.1,6,6
9959.0,0,16.5,0.0,31.1,18.3,23.6,5.7,6,0
11764.0,0,0.0,0.0,31.7,22.2,25.9,5.2,6,1
11586.0,0,0.0,0.0,28.9,20.0,25.6,3.2,6,2
11844.0,0,0.0,0.0,33.9,21.7,26.8,3.5,6,3
10867.0,0,0.5,0.0,34.4,25.0,29.3,4.3,6,4
11754.0,0,0.0,0.0,33.3,23.9,28.3,2.7,6,5
9490.0,0,13.2,0.0,33.9,25.6,29.5,2.2,6,6
9975.0,0,2.0,0.0,33.9,25.6,28.6,2.7,6,0
11492.0,0,0.0,0.0,35.6,25.0,29.8,4.1,6,1
11173.0,0,4.6,0.0,28.9,23.3,26.8,2.2,6,2
9990.0,0,13.5,0.0,32.8,22.2,25.8,2.8,6,3
12019.0,0,3.0,0.0,31.7,22.8,26.9,3.1,6,4
9305.0,0,60.2,0.0,33.3,23.3,27.9,2.9,6,5
8775.0,0,0.8,0.0,34.4,24.4,28.2,4.1,6,6
11258.0,0,0.0,0.0,34.4,25.6,30.4,3.4,6,0
9184.0,0,21.3,0.0,35.6,23.9,30.3,4.7,6,1
12581.0,0,0.0,0.0,30.0,21.1,25.5,3.8,6,2
11119.0,0,12.2,0.0,30.6,21.1,26.4,2.6,6,3
13027.0,0,0.0,0.0,28.3,20.6,24.4,2.6,6,4
3301.0,0,69.9,0.0,25.6,20.6,23.2,4.7,6,5
11601.0,0,0.0,0.0,27.8,19.4,23.1,3.8,6,6
12191.0,0,0.0,0.0,28.9,17.2,23.6,3.4,6,0
11970.0,0,0.3,0.0,31.7,21.7,25.8,4.0,6,1
11223.0,0,33.0,0.0,31.1,20.6,25.7,3.1,7,2
11257.0,0,0.5,0.0,25.0,20.0,23.9,1.9,7,3
12791.0,1,0.8,0.0,28.3,18.9,23.6,1.7,7,4
